id_concept,iate_link,en_def,en,cs,da,de,es,fi,fr,it,nl,pt,domains
1530177,https://iate.europa.eu/entry/result/1530177,"contiguous fluid-filled space existing between a structural barrier, such as a cell wall or the skin, and internal structures, such as organs, including muscles and the circulatory system - COM-Terminology Coordination, based on: Wikipedia. 'Interstitium' (13.3.2020)","interstitium, interstitial space","intersticium, intersticiální prostor","interstitium, interstits, interstitialrum","Interstitium, Interstitialraum","intersticio, espacio intersticial","välikudos, interstitiaalinen kudos","interstitium, tissu interstitiel, espace interstitiel, structure interstitielle, liquide interstitiel, liquide interstitium","interstizio, spazio interstiziale","interstitium, interstitiële ruimte","interstício, espaço intersticial",SOCIAL QUESTIONS > health > medical science
1431879,https://iate.europa.eu/entry/result/1431879,production in a host of specific antibodies as a result of infection or immunisation - WHO. Programmes and projects. Global Alert and Response (GAR). Hepatitis B. Glossary http://www.who.int/csr/disease/hepatitis/whocdscsrlyo20022/en/index7.html [30.3.2012],seroconversion,sérokonverze,"serokonversion, serokonvertering",,seroconversión,serokonversio,séroconversion,sieroconversione,,seroconversão,SOCIAL QUESTIONS > health > medical science
1073484,https://iate.europa.eu/entry/result/1073484,"any protein that is part of a biological membrane - COM-Terminology Coordination, based on:Wikipedia. 'Membrane protein' (23.4.2020)",membrane protein,,membranprotein,Membranprotein,"proteína de la membrana celular, proteina membranal, proteina de membrana",kalvoproteiini,protéine membranaire,"proteina di membrana, proteina membranale, proteina della membrana","membraaneiwit, membraanproteïne",proteína da membrana,"SCIENCE > natural and applied sciences > life sciences > biology > microorganism, SCIENCE > natural and applied sciences > life sciences > biology"
1431898,https://iate.europa.eu/entry/result/1431898,"first documented case of an infectious disease or genetically transmitted condition or mutation in a population, region, or family as noticed by the authorities - COM-Terminology Coordination, based on:Merriam-Webster Dictionary. Index case (24.4.2020)","index case, index patient, patient zero, party zero",,casus index,"Indexfall, Indexpatient, Patient Null",caso índice,"indeksitapaus, indeksipotilas, potilas nolla","cas repère, cas de référence",caso indice,index case,caso índice,"SOCIAL QUESTIONS > health > medical science > epidemiology, SOCIAL QUESTIONS > health > illness > epidemic"
1569120,https://iate.europa.eu/entry/result/1569120,mortality [ IATE:1569466 ] above what would be expected - WHO. Glossary of Humanitarian Terms. http://www.who.int/entity/hac/about/reliefweb-aug2008.pdf [7.11.2013],"excess mortality, abnormal mortality, unusual mortality",nadúmrtnost,"overdødelighed, abnorm dødelighed","überhöhte Sterblichkeit, zusätzliche Mortalität, Übersterblichkeit",exceso de mortalidad,"ylikuolevuus, ylikuolleisuus","surmortalité, surcroît de décès",mortalità anomala,oversterfte,aumento da mortalidade,"SOCIAL QUESTIONS > demography and population, ECONOMICS > economic analysis > statistics"
3545441,https://iate.europa.eu/entry/result/3545441,"analytical procedures performed for patients by healthcare professionals at the time of 
consultation outside of the conventional laboratory 
and the results of which are available instantly
to enable immediate and informed decisions about patient care - COM-EN, based on: - International Medical Device Regulators Forum (IMDRF). 'Essential Principles of Safety and Performance of Medical Devices and IVD Medical Devices' (6.5.2020). IMDRF/GRRP WG/N47 FINAL:2018","point-of-care testing, POCT, near-patient testing, NPT, bedside testing, device for near-patient testing","vyšetření v blízkosti pacienta nebo přímo u pacienta, vyšetření u pacienta, VUP, POCT","patientnære laboratorieanalyser, near patient testing, point-of-care testing, POCT","patientennaher Test, Point-of-Care-Test","pruebas realizadas cerca del paciente, análisis de cabecera","vieritestaus, vierianalytiikka, lähitestaus","analyse délocalisée, analyse hors laboratoire, analyse sur le lieu d'intervention","analisi decentrate, POCT, analisi al letto del paziente, PoCT",decentrale test,"teste na presença do doente, teste à cabeceira, teste descentralizado, teste a realizar na presença do doente","SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device"
1431905,https://iate.europa.eu/entry/result/1431905,"person who suffers from a non-infectious disease or condition but does not show any symptoms or signs - COM-Terminology Coordination, based on: Danielle Tholey. 'The Asymptomatic Patient With Abnormal Liver Test Results' (9.4.2020). MDS Manual. Professional Version","asymptomatic patient, asymptomatic individual, asymptomatic case, asymptomatic subject","bezpříznakový pacient, bezpříznakový jedinec, asymptomatický pacient, asymptomatický jedinec, bezpříznakový případ, bezpříznakový případ","asymptomatisk patient, symptomfri patient","asymptomatischer Patient, asymptomatischer Fall",paciente asintomático,oireeton potilas,"patient asymptomatique, personne asymptomatique, sujet asymptomatique","paziente asintomatico, caso asintomatico, soggetto asintomatico, persona asintomatica","asymptomatische patiënt, asymptomatische persoon, asymptomatisch geval","paciente assintomático, doente assintomático","SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > illness"
1431908,https://iate.europa.eu/entry/result/1431908,"in epidemiological models, parameter expressing the frequency of contacts between infected and healthy individuals, the probability that the contacted individual is susceptible and the probability that transmission occurs - COM-Terminology Coordination, based on:Luis E C Rocha, Naoki Masuda. 'Individual-based approach to epidemic processes on arbitrary dynamic contact networks' (7.5.2020). arXiv","infection rate, transmission rate",,infektionsrate,,tasa de infección,"tartuntatiheys, tartuntaintensiteetti","taux d'infection, taux de contagion",tasso d'infezione,,taxa de infecção,"SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > medical science > epidemiology"
1220965,https://iate.europa.eu/entry/result/1220965,"sequence of activities that a firm undertakes to create value, including the various steps of the supply chain but also additional activities, such as marketing, sales, and service - Deardorff's Glossary of International Economics &gt; V. (12.3.2019)","value-added chain, value chain, added value chain","řetězec přidané hodnoty, hodnotový řetězec","værditilvækstkæde, værdikæde","Wertschöpfungskette, Wertkette",,"arvonlisäketju, lisäarvoketju, arvoketju","chaîne de valeur, chaîne de valorisation","catena del valore aggiunto, catena del valore, catena di valore","waardeketen, toegevoegdewaardeketen","cadeia de valor acrescentado, cadeia de valor","TRADE > trade policy, ECONOMICS > economic analysis, BUSINESS AND COMPETITION > accounting > accounting"
3549541,https://iate.europa.eu/entry/result/3549541,"new betacoronavirus detected for the first time in April 2012 and causing acute respiratory infection or acute respiratory distress syndrome - COM-Term. Coordination, based on:- 'Middle East Respiratory Syndrome (MERS)' (27.2.2020), Centers for Disease Control and Prevention - 'Middle East respiratory syndrome coronavirus: Case definition for reporting to WHO' (27.2.2020), Interim case definition as of 26 July 2017, World Health Organization ","Middle East respiratory syndrome-related coronavirus, Middle East respiratory syndrome coronavirus, Middle East Respiratory Syndrome Coronavirus, novel coronavirus","koronavirus z Blízkého východu způsobující respirační syndrom, MERS-CoV","Middle East respiratory syndrome-coronavirus, mers-CoV, ny coronavirus","Nahost-Atemwegssyndrom-Coronavirus, MERS-Coronavirus, MERS-CoV","coronavirus del síndrome respiratorio de Oriente Próximo, síndrome respiratorio de Oriente Medio por coronavirus, MERS-CoV","Lähi-idän hengitystieoireyhtymän aiheuttava koronavirus, MERS-koronavirus, uusi koronavirus, MERS-CoV","coronavirus du syndrome respiratoire du Moyen-Orient, MERS-CoV, nouveau coronavirus","coronavirus della sindrome respiratoria del Medio Oriente, MERS-CoV, nuovo coronavirus","Middle East Respiratory Syndrome Coronavirus, MERS-CoV, MERS-coronavirus","coronavírus da síndrome respiratória do Médio Oriente, novo coronavírus, MERS-CoV","SOCIAL QUESTIONS > health > medical science > epidemiology > disease vector, SCIENCE > natural and applied sciences > life sciences"
844144,https://iate.europa.eu/entry/result/844144,conference held in order to raise funds for aid by means of commitments made by the participants - Council-EN,"pledging conference, donors' conference, donor conference, donors conference, pledging event, pledging summit","dárcovská konference, dárcovská akce","donorkonference, konference af donorlande, bidragskonference, tilsagnskonference","Geberkonferenz, Beitragsankündigungskonferenz, Zeichnungskonferenz","conferencia sobre promesas de contribuciones, conferencia de donantes, conferencia de promesas","avunantajien konferenssi, avunantajamaiden rahoittajien konferenssi, avunantajakonferenssi, lahjoittajakonferenssi, lahjoittajien konferenssi","conférence pour les annonces de contributions, conférence d'engagements, conférence des donateurs, conférence des bailleurs de fonds","conferenza dei donatori, incontro sugli impegni di finanziamento, evento di mobilitazione","donorconferentie, pledgingconferentie, pledging conferentie, toezeggingsconferentie","conferência de anúncio de contribuições, conferência de doadores","INTERNATIONAL ORGANISATIONS > United Nations, INTERNATIONAL RELATIONS, EUROPEAN UNION > European construction > European Union, INTERNATIONAL RELATIONS > cooperation policy"
1687927,https://iate.europa.eu/entry/result/1687927,"person engaged in work with the primary
intent to enhance health - Council-EN, based on WHO &gt; The World Health Report 2006 - Health workers: a global profile (10.7.2020)","health worker, health workers, healthcare worker, health care worker, HCW",,,im Gesundheitswesen tätige Person,"personal sanitario, profesional sanitario",terveystyöntekijä,"personnel de santé, travailleur en santé, travailleur de la santé",operatore sanitario,,"profissional de saúde, profissionais de saúde",SOCIAL QUESTIONS > health
3588486,https://iate.europa.eu/entry/result/3588486,disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) - COM-EN based on: World Health Organization (WHO) &gt; Emergencies &gt; Diseases &gt; Coronavirus disease 2019 &gt; Technical guidance &gt; Naming the coronavirus disease (COVID-19) and the virus that causes it (22.3.2020),"COVID-19, coronavirus disease 2019, 2019-nCoV acute respiratory disease, coronavirus disease","COVID-19, onemocnění COVID-19, onemocnění koronavirem 2019, akutní respirační onemocnění 2019-nCoV, onemocnění koronavirem, koronavirové onemocnění","covid-19, coronavirussygdom 2019, coronavirussygdom","COVID-19, Coronavirus-Krankheit-2019, Coronavirus-Erkrankung-2019, akute Atemwegserkrankung 2019-nCoV, COVID-19-Erkrankung, COVID-19-Krankheit","COVID-19, enfermedad por coronavirus 2019, neumonía por coronavirus 2019-nCoV","covid-19, covid-19-tauti, covid-19-koronavirustauti, koronavirustauti 2019","COVID-19, maladie à coronavirus 2019","Covid-19, malattia da coronavirus 2019","COVID-19, coronavirusziekte 2019","COVID-19, doença do coronavírus 2019",SOCIAL QUESTIONS > health > illness > infectious disease
1894809,https://iate.europa.eu/entry/result/1894809,"synthetic antimalarial drug formulated as a phosphate, sulfate or hydrochloride salt - COM_EN, based on: 'Antiparasitic Agents' (19.3.2020). F. Matthew Kuhlmann, James M. Fleckenstein in Infectious Diseases (Fourth Edition), 2017",chloroquine,chlorochin,,Chloroquin,cloroquina,klorokiini,chloroquine,clorochina,"chloroquine, chlorochine",cloroquina,SOCIAL QUESTIONS > health > pharmaceutical industry > pharmaceutical product
1905054,https://iate.europa.eu/entry/result/1905054,"infectious respiratory disease caused by the SARS-associated coronavirus (SARS-CoV) - COM-EN based on:Centers for Disease Control and Prevention &gt; SARS Basics Fact Sheet, http://www.cdc.gov/sars/about/fs-SARS.html [27.1.2012]","severe acute respiratory syndrome, SARS","těžký akutní respirační syndrom, SARS","svært akut luftvejssyndrom, alvorligt akut luftvejssyndrom, svært akut respiratorisk syndrom, sars","Schweres Akutes Respiratorisches Syndrom, SARS, Schweres Akutes Atemwegsyndrom, schweres akutes Atemnotsyndrom","síndrome respiratorio agudo grave, SRAG, neumomía coronavírica","SARS, vaikea akuutti respiratorinen oireyhtymä, vaikea akuutti respiratorinen syndrooma, vakava äkillinen hengitystieoireyhtymä, SARS-keuhkokuume","syndrome respiratoire aigu sévère, SRAS","sindrome respiratoria acuta grave, sindrome respiratoria acuta severa, SARS","severe acute respiratory syndrome, SARS, ernstig acuut respiratoir syndroom, ernstige acute ademhalingsziekte","síndrome respiratória aguda grave, SARS, síndrome respiratória aguda, SRA",SOCIAL QUESTIONS > health > illness > infectious disease
1497528,https://iate.europa.eu/entry/result/1497528,"separation of persons with a communicable disease from those who do not have the disease, in order to prevent its spread - Council-EN, based on:Centers for Disease Control and Prevention &gt; Quarantine and isolation (14.4.2020)",isolation,izolace,"isolering, isolation",Isolierung,aislamiento,"eristys, eristäminen",isolement,isolamento,isolatie,isolamento,"SOCIAL QUESTIONS > health > health policy > organisation of health care, SOCIAL QUESTIONS > health > health policy > health service"
2251196,https://iate.europa.eu/entry/result/2251196,"laboratory test of a new drug or a new invasive medical device on animal subjects, conducted before testing on humans can actually start to gather evidence justifying a clinical trial [ IATE:1686971 ] - 'preclinical trial'. WordNet Search - 3.1. Princeton University, <a href=""http://wordnetweb.princeton.edu/perl/webwn?o2=&amp;o0=1&amp;o8=1&amp;o1=1&amp;o7=&amp;o5=&amp;o9=&amp;o6=&amp;o3=&amp;o4=&amp;s=preclinical+trial"" target=""_blank"">http://wordnetweb.princeton.edu/perl/webwn?o2=&amp;o0=1&amp;o8=1&amp;o1=1&amp;o7=&amp;o5=&amp;o9=&amp;o6=&amp;o3=&amp;o4=&amp;s=preclinical+trial [6.12.2013]","preclinical trial, pre-clinical trial, preclinical test, pre-clinical test, pre-clinical testing, preclinical study, pre-clinical study, non-clinical study","předklinické hodnocení, předklinická zkouška, předklinické zkoušení, předklinická studie, neklinická studie","præklinisk undersøgelse, præklinisk test",vorklinische Studie,"ensayo preclínico, estudio preclínico","prekliininen tutkimus, prekliininen koe, ei-kliininen tutkimus","essai préclinique, étude préclinique","sperimentazione preclinica, prova preclinica, studio preclinico, studio pre-clinico, indagine preclinica","preklinische test, pre-klinische proef, test, preklinische onderzoek","ensaio pré-clínico, farmacocinética e farmacodinâmica",SOCIAL QUESTIONS > health > pharmaceutical industry
1493465,https://iate.europa.eu/entry/result/1493465,"the process of killing or removing many or all pathogenic microorganisms (except for bacterial spores and prions) from inanimate objects or skin, to a level which is not harmful to health - Jacqueline G. Solon, ShaneKilleen. Decontamination and sterilization. 
Surgery (Oxford) Volume 33, Issue 11, November 2015, Pages 572-578, https://www.sciencedirect.com/science/article/pii/S026393191500174X [29.5.2018]",disinfection,"dezinfekce, desinfekce",desinfektion,"Desinfektion, Desinfizierung, Entseuchung, Entkeimung",desinfección,desinfiointi,désinfection,disinfezione,"desinfectie, ontsmetting",desinfeção,SOCIAL QUESTIONS > health
2220518,https://iate.europa.eu/entry/result/2220518,"controlled study which involves deliberate infection of healthy research subjects - COM-Terminology Coordination, based on:WHO. <a href=""https://apps.who.int/iris/bitstream/handle/10665/331976/WHO-2019-nCoV-Ethics_criteria-2020.1-eng.pdf?ua=1"" target=""_blank"">'Key criteria for the ethical acceptability of COVID-19 human challenge studies' (11.5.2020). 6 May 2020","challenge study, controlled infection study",,,,,altistustutkimus,étude de provocation,,,estudo de provocação,"SOCIAL QUESTIONS > health > medical science > medical research, SOCIAL QUESTIONS > health > pharmaceutical industry > pharmaceutical product > vaccine"
903654,https://iate.europa.eu/entry/result/903654,"grouping together of purchases of goods or services by two or more different public entities, thus achieving greater efficiency and economies of scale - Council-EN","joint procurement, grouped procurement, joint public procurement",společné zadávání veřejných zakázek,"fælles udbud, fælles indkøb, fælles udbudsprocedure","gemeinsame Auftragsvergabe, gemeinsame Beschaffung, Bündelung von Aufträgen","contratación conjunta, contratación centralizada","yhteishankinta, hankintarengas, yhteinen julkinen hankinta","passation conjointe de marchés, marché conjoint, passation de marchés conjoints, marché groupé","appalto congiunto, aggiudicazione congiunta, gara d'appalto raggruppata","gezamenlijke aanbesteding, gezamenlijke overheidsopdracht, groepsaankoop, gegroepeerde aankoop","contratação conjunta, aquisição conjunta, contratação centralizada",TRADE > trade policy > public contract
389626,https://iate.europa.eu/entry/result/389626,"Strain of coronavirus identified
in 2003 which causes severe acute respiratory syndrome (SARS) - Council-EN, based on:World Health Organization (24.3.2020)","severe acute respiratory syndrome-related coronavirus, SARS-associated coronavirus","koronavirus související s těžkým akutním respiračním syndromem, koronavirus související se SARS","sarsrelateret coronavirus, sars-CoV","<i>SARS-assoziiertes Coronavirus</i>, SARS-Coronavirus, SARS-CoV","coronavirus del síndrome respiratorio agudo grave, coronavirus del SRAG, SARS-CoV","SARS-koronavirus, vaikeaan akuuttiin respiratoriseen oireyhtymään liittyvä koronavirus, SARS-CoV","coronavirus du SRAS, SRAS-CoV","coronavirus della sindrome respiratoria acuta grave, coronavirus associato alla SARS","severe acute respiratory syndrome-related coronavirus, SARS-coronavirus",coronavírus da síndrome respiratória aguda grave,"SOCIAL QUESTIONS > health > medical science > epidemiology > disease vector, SCIENCE > natural and applied sciences > life sciences"
1354243,https://iate.europa.eu/entry/result/1354243,life-threatening condition where the lungs can't provide the body's vital organs with enough oxygen - UK National Health Service (NHS) &gt; Health A to Z &gt; Acute respiratory distress syndrome (13.3.2020),"acute respiratory distress syndrome, ARDS, adult respiratory distress syndrome",,"""adult respiratory distress syndrome""","Schocklunge, Atemnotsyndrom des Erwachsenen, ARDS, ARDS, akutes respiratorisches Distress-Syndrom","síndrome disneico agudo del adulto, síndrome de dificultad respiratoria del adulto, edema pulmonar fulminante",aikuisen hengitysvaikeusoireyhtymä,"SDRA, syndrome de détresse respiratoire aiguë, syndrome de détresse respiratoire de l'adulte","insufficienza respiratoria subadulta dell'adulto, ARDS, sindrome di difficoltà respiratoria dell'adulto","ARDS, Adult Respiratory Distress Syndrome",síndrome de insuficiência respiratória do adulto,"SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > illness"
764448,https://iate.europa.eu/entry/result/764448,"medicinal product prepared in a pharmacy in accordance with a medical prescription for an individual patient - COM-EN, based on: - Pharmaceutical Pricing and Reimbursement Information (PPRI) &gt; Magistral formula (5.6.2020)- <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02001L0083-20190726"" target=""_blank"">Directive 2001/83/EC of the European Parliament and of the Council of 6 November 2001 on the Community code relating to medicinal products for human use","magistral formula, medicine made up according to prescription, magistral preparation","individuálně připravený léčivý přípravek, individuálně připravené léčivé přípravky, léčivý přípravek připravený individuálně, léčivé přípravky připravené individuálně","magistrelt lægemiddel, magistrelt fremstillet lægemiddel, magistrelt præparat, magistrelt fremstillet præparat","formula magistralis, Rezepturarzneimittel, magistrale Zubereitung",fórmula magistral,"lääkemääräyksen mukainen apteekkivalmiste, ex tempore -lääkevalmiste, ex tempore -valmiste","préparation magistrale, médicament magistral, formule magistrale","formula magistrale, preparato magistrale","formula magistralis, magistrale bereiding","preparação magistral, fórmula magistral",SOCIAL QUESTIONS > health > pharmaceutical industry
160302,https://iate.europa.eu/entry/result/160302,"test intended by the manufacturer for use by lay users - COM-Terminology Coordination, based on: C(2020) 2391 final: COMMUNICATION FROM THE COMMISSION Guidelines on COVID-19 in vitro diagnostic tests and their performance",self-test,"test pro sebetestování, sebetest",selvtestning,Selbsttest,autodiagnóstico,kotitesti,"autotest, autotest de dépistage",test autodiagnostico,zelftest,"autoteste, autodiagnóstico",SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device
3588677,https://iate.europa.eu/entry/result/3588677,"title of the Commissioner for Crisis Management referring,
among other things, to his mission to strengthen the Emergency Response Coordination Centre’s role as the single operational hub managing the EU’s response to crises - COM-Terminology Coordination, based on:Ursula von der Leyen, Janez Lenarčič Commissioner for Crisis Management (8.4.2020), mission letter, p. 4",European Emergency Response Coordinator,"koordinátor odezvy na mimořádné události, koordinátor reakce na mimořádné události",EU's katastrofeberedskabskoordinator,Europäischer Koordinator für Notfallmaßnahmen,Coordinador Europeo de Respuesta a Emergencias,EU:n hätäavun koordinointikeskuksen johtaja,coordinateur européen de la réaction d'urgence,coordinatore europeo per la risposta alle emergenze,Europese coördinator voor respons in noodsituaties,coordenador da Resposta de Emergência da UE,EUROPEAN UNION > EU institutions and European civil service
2251338,https://iate.europa.eu/entry/result/2251338,"infection that affects the nose, throat, and airways and may be caused by any of several different viruses - COM-Terminology Coordination, based on: The Merck Manuals &gt; Online Medical Library, Home Edition &gt; Section: Children's Health Issues &gt; Subject: Viral Infections &gt; 'Topic: Respiratory Tract Infections' (23.4.2020)",respiratory tract infection,infekce dýchacích cest,,Atemwegsinfektion,,hengitystieinfektio,infection respiratoire,,,infeção do trato respiratório,SOCIAL QUESTIONS > health > illness
197204,https://iate.europa.eu/entry/result/197204,"person who has become infected with a pathogen, but who displays no signs or symptoms - COM-EN, based on:Wikipedia. 'Asymptomatic carrier' (9.4.2020)","asymptomatic carrier, asymptomatic individual, asymptomatic case","bezpříznakový nosič, asymptomatický nosič, bezpříznakový případ, asymptomatický případ, bezpříznakový jedinec, asymptomatický jedinec","asymptomatisk bærer, symptomfri bærer, asymptomatisk smittebærer, symptomfri smittebærer, asymptomatisk tilfælde, symptomfrit tilfælde, asymptomatisk individ, symptomfrit individ, asymptomatisk person, symptomfri person","asymptomatischer Träger, asymptomatischer Fall","portador asintomático, caso asintomático","oireeton kantaja, oireeton tartunnankantaja, oireeton tapaus, oireeton henkilö","porteur asymptomatique, porteur sain, cas asymptomatique, patient asymptomatique","portatore asintomatico, caso asintomatico, soggetto asintomatico","asymptomatische drager, asymptomatische persoon, asymptomatisch geval, symptoomloze drager","portador assintomático, PA","SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > illness > infectious disease"
3570285,https://iate.europa.eu/entry/result/3570285,"test
that detects certain antibodies against a pathogen in order to diagnose current
or past infection or that detects antimitochondrial antibodies and/or
antinuclear antibodies in order to diagnose an auto-immune disease - COM-Terminology Coordination, based on:1) Lab Tests Online. 'Antibody Identification' (15.4.2020)2) Geneviève Cadieux, Jennifer Campbell, and Nandini Dendukuri. 'Systematic review of the accuracy of antibody tests used to screen asymptomatic adults for hepatitis C infection' (15.4.2020). CMAJ Open. 2016 Oct-Dec; 4(4): E737–E745.3) Malgorzata Milkiewicz, Llorenç Caballería, Daniel S. Smyk, and Piotr Milkiewicz. 'Predicting and preventing autoimmunity: the case of anti-mitochondrial antibodies' (15.4.2020). Auto Immun Highlights. 2012 Dec; 3(3): 105–112.",antibody test,"test na protilátky, test na detekci protilátek, protilátkový test",,Antikörpertest,,vasta-ainetesti,"test sérologique, test de détection d'anticorps, test de dépistage des anticorps","test degli anticorpi, test anticorpali",,teste de anticorpos,"SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device"
1878639,https://iate.europa.eu/entry/result/1878639,"ability of a method to determine solely the target marker - COM-Terminology Coordination, based on: <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02002D0364-20120701"" target=""_blank"">2002/364/EC: <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02002D0364-20120701"" target=""_blank"">Commission Decision on common technical specifications for in vitro -diagnostic medical devices (notified under document number C(2002) 1344",analytical specificity,"analytická specificita, analytická specifičnost, analytická specifita",,analytische Spezifizität,,analyyttinen spesifisyys,spécificité analytique,specificità analitica,analytische specificiteit,especificidade analítica,SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device
1073794,https://iate.europa.eu/entry/result/1073794,"host defense system comprising many biological structures and processes within an organism that protects against disease - COM-Terminology Coordination, based on: Wikipedia. 'Immune system' (5.5.2020)",immune system,imunitní systém,"immunsystem, immunitetssystem",,"sistema inmunitario, sistema inmunológico",immuunijärjestelmä,système immunitaire,sistema immunitario,"immunologisch systeem, immuunsysteem, afweersysteem, afweerstelsel, immuumsysteem, immuunstelsel, immuniteitsysteem","sistema imunitário, sistema imunológico",SOCIAL QUESTIONS > health > medical science
1464965,https://iate.europa.eu/entry/result/1464965,"highest possible rating that may be assigned
to an issuer's bonds by any of the major credit rating agencies - 'AAA' (22.4.2020), Investopedia.com.","AAA, AAA rating, triple-A rating, triple-A credit rating","rating AAA, úvěrový rating AAA","AAA, AAA-rating, AAA-kreditrating, triple A, triple A-rating","AAA-Rating, Rating „AAA“, AAA, Bonitätsstufe 'Triple A', Triple-A","calificación crediticia triple A, calificación triple A, triple A, AAA, rating triple A, rating AAA","AAA-luokitus, AAA-luottoluokitus","triple A, AAA, cote de crédit de premier ordre, cotation AAA","tripla A, rating AAA, rating tripla A, valutazione AAA","triple A, AAA-rating","triplo A, AAA",FINANCE > financial institutions and credit
770695,https://iate.europa.eu/entry/result/770695,"person whose function is to impart knowledge, know-how or
skills to learners in an education or training context - Council-EN, based on:Terminology of European education and training policy, Cedefop (29.7.2020)",teacher,,,,,opettaja,enseignant,"docente, insegnante","leerkracht, onderwijsgevende",,EDUCATION AND COMMUNICATIONS
1507975,https://iate.europa.eu/entry/result/1507975,"collection of new cases of an uncommon or rare disease that occur so closely together in space and/or time as to arouse suspicion that this is not a chance occurrence but has a cause that should be investigated - COM-Terminology Coordination, based on:- <a href=""https://www.oxfordreference.com/view/10.1093/acref/9780195160901.001.0001/acref-9780195160901-e-781?rskey=CS1dAT&amp;result=1"" target=""_blank"">""cluster""(8.6.2020) noun. 
A Dictionary of Public Health. Ed. John M. Last, Oxford University Press, 2007. 
Oxford Reference Online. OUP. DGT.- outbreaktools.ca &gt; background &gt; Outbreak Identification (8.6.2020)","cluster, cluster of cases, disease cluster",klastr,"cluster, ophobning",Cluster,agregación de casos,"tapausryväs, klusteri",,"cluster, cluster di casi",,conjunto de casos,"SOCIAL QUESTIONS > health > medical science, SOCIAL QUESTIONS > health > medical science > epidemiology"
1221271,https://iate.europa.eu/entry/result/1221271,"clinical study1 in which the participants are assigned randomly to separate groups for the purpose of comparing different treatments1clinical study [ IATE:3543172 ] - COM-Terminology Coodination, based on: National Cancer Institute (U.S. National Institutes of Health) &gt; Clinical Trials &gt; What are clinical trials? &gt; Randomization, http://www.cancer.gov/clinicaltrials/learningabout/what-are-clinical-trials/randomization [5.3.2014] &amp;  Cancer Research UK &gt; CancerHelp &gt; Trials and research &gt; Types of trials &gt; About randomised trials, <a href=""http://www.cancerhelp.org.uk/help/default.asp?page=74"" target=""_blank"">http://www.cancerhelp.org.uk/help/default.asp?page=74 [5.3.2014]","randomised clinical trial, randomized clinical trial, randomised trial, randomized trial","randomizované klinické hodnocení, randomizované hodnocení","randomiseret klinisk forsøg, randomiseret forsøg, randomiseret klinisk undersøgelse, lodtrækningsforsøg","randomisierte klinische Prüfung, randomisierte Studie","ensayo clínico aleatorizado, ensayo clínico aleatorio","satunnaistettu kliininen koe, satunnaistettu koe, satunnaistettu tutkimus","essai clinique randomisé, essai clinique aléatoire, essai clinique à répartition aléatoire, essai randomisé, essai aléatoire","sperimentazione clinica randomizzata, studio clinico randomizzato, trial clinico randomizzato, sperimentazione randomizzata, studio randomizzato, trial randomizzato","gerandomiseerde klinische proef, gerandomiseerd klinisch onderzoek, gerandomiseerde klinische trial","ensaio clínico aleatório, ensaio aleatorizado",SOCIAL QUESTIONS > health > pharmaceutical industry
791197,https://iate.europa.eu/entry/result/791197,1947 US plan for the reconstruction of Europe - Council-EN based on GOV-UK's blog on the History of Government (22.4.2020),"European Recovery Programme, ERP, Marshall Plan, Marshall Aid Plan","Mashallův plán, Plán evropské obnovy","europæisk genopbygningsprogram, Marshallplanen, ERP","Programm zum Wiederaufbau Europas, Europäisches Wiederaufbauprogramm, Marshallplan, Marshall-Plan, ERP","Programa de Reconstrucción Europea, Plan Marshall","Euroopan jälleenrakennusohjelma, Marshall-apu, Marshall-suunnitelma","programme de relèvement européen, plan Marshall, programme de reconstruction européenne, PRE","Programma di ricostruzione europea, ERP, piano Marshall","Europees Herstelprogramma, Marshallplan, EHP","Programa de Recuperação Europeia, Plano Marshall","FINANCE, INTERNATIONAL RELATIONS > cooperation policy"
871070,https://iate.europa.eu/entry/result/871070,combination of 'open learning' [ IATE:877731 ] and 'distance learning' [ IATE:771416 ] - Council-EN,"open and distance learning, ODL",,åben uddannelse og fjernundervisning,offener Fernunterricht,enseñanza abierta y a distancia,avoin ja etäopiskelu,"apprentissage ouvert et à distance, AOD, enseignement ouvert et à distance",,"open en afstandsonderwijs, open leren leren op afstand",,EDUCATION AND COMMUNICATIONS > education
